item_id,seed_id,template_id,source_modality,source_statement,task2_gold_modality,capability_text
S0029_weak_useful_if,S0029,useful_if,nice_to_have,It would be useful if the system could conform to the smart device user interface standards in look and feel.,nice_to_have,conform to the smart device user interface standards in look and feel
S0029_weak_nice_if,S0029,nice_if,nice_to_have,It would be nice if the system could conform to the smart device user interface standards in look and feel.,nice_to_have,conform to the smart device user interface standards in look and feel
S0029_weak_low_priority_enhancement,S0029,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could conform to the smart device user interface standards in look and feel.",nice_to_have,conform to the smart device user interface standards in look and feel
S0029_weak_future_enhancement,S0029,future_enhancement,nice_to_have,Stakeholders mentioned that the system could conform to the smart device user interface standards in look and feel as a possible future enhancement.,nice_to_have,conform to the smart device user interface standards in look and feel
S0030_weak_useful_if,S0030,useful_if,nice_to_have,It would be useful if the system could provide standard menu buttons for navigation.,nice_to_have,provide standard menu buttons for navigation
S0030_weak_nice_if,S0030,nice_if,nice_to_have,It would be nice if the system could provide standard menu buttons for navigation.,nice_to_have,provide standard menu buttons for navigation
S0030_weak_low_priority_enhancement,S0030,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could provide standard menu buttons for navigation.",nice_to_have,provide standard menu buttons for navigation
S0030_weak_future_enhancement,S0030,future_enhancement,nice_to_have,Stakeholders mentioned that the system could provide standard menu buttons for navigation as a possible future enhancement.,nice_to_have,provide standard menu buttons for navigation
S0031_weak_useful_if,S0031,useful_if,nice_to_have,It would be useful if the system could have a professional appearance.,nice_to_have,have a professional appearance
S0031_weak_nice_if,S0031,nice_if,nice_to_have,It would be nice if the system could have a professional appearance.,nice_to_have,have a professional appearance
S0031_weak_low_priority_enhancement,S0031,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could have a professional appearance.",nice_to_have,have a professional appearance
S0031_weak_future_enhancement,S0031,future_enhancement,nice_to_have,Stakeholders mentioned that the system could have a professional appearance as a possible future enhancement.,nice_to_have,have a professional appearance
S0032_weak_useful_if,S0032,useful_if,nice_to_have,It would be useful if the system could have a consistent color scheme and fonts.,nice_to_have,have a consistent color scheme and fonts
S0032_weak_nice_if,S0032,nice_if,nice_to_have,It would be nice if the system could have a consistent color scheme and fonts.,nice_to_have,have a consistent color scheme and fonts
S0032_weak_low_priority_enhancement,S0032,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could have a consistent color scheme and fonts.",nice_to_have,have a consistent color scheme and fonts
S0032_weak_future_enhancement,S0032,future_enhancement,nice_to_have,Stakeholders mentioned that the system could have a consistent color scheme and fonts as a possible future enhancement.,nice_to_have,have a consistent color scheme and fonts
S0034_weak_useful_if,S0034,useful_if,nice_to_have,It would be useful if the system could be intuitive and self explanatory.,nice_to_have,be intuitive and self explanatory
S0034_weak_nice_if,S0034,nice_if,nice_to_have,It would be nice if the system could be intuitive and self explanatory.,nice_to_have,be intuitive and self explanatory
S0034_weak_low_priority_enhancement,S0034,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could be intuitive and self explanatory.",nice_to_have,be intuitive and self explanatory
S0034_weak_future_enhancement,S0034,future_enhancement,nice_to_have,Stakeholders mentioned that the system could be intuitive and self explanatory as a possible future enhancement.,nice_to_have,be intuitive and self explanatory
S0035_weak_useful_if,S0035,useful_if,nice_to_have,It would be useful if the system could be easy for a realtor to learn.,nice_to_have,be easy for a realtor to learn
S0035_weak_nice_if,S0035,nice_if,nice_to_have,It would be nice if the system could be easy for a realtor to learn.,nice_to_have,be easy for a realtor to learn
S0035_weak_low_priority_enhancement,S0035,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could be easy for a realtor to learn.",nice_to_have,be easy for a realtor to learn
S0035_weak_future_enhancement,S0035,future_enhancement,nice_to_have,Stakeholders mentioned that the system could be easy for a realtor to learn as a possible future enhancement.,nice_to_have,be easy for a realtor to learn
S0036_weak_useful_if,S0036,useful_if,nice_to_have,It would be useful if the system could use symbols and words that are naturally understandable by the realtor community.,nice_to_have,use symbols and words that are naturally understandable by the realtor community
S0036_weak_nice_if,S0036,nice_if,nice_to_have,It would be nice if the system could use symbols and words that are naturally understandable by the realtor community.,nice_to_have,use symbols and words that are naturally understandable by the realtor community
S0036_weak_low_priority_enhancement,S0036,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could use symbols and words that are naturally understandable by the realtor community.",nice_to_have,use symbols and words that are naturally understandable by the realtor community
S0036_weak_future_enhancement,S0036,future_enhancement,nice_to_have,Stakeholders mentioned that the system could use symbols and words that are naturally understandable by the realtor community as a possible future enhancement.,nice_to_have,use symbols and words that are naturally understandable by the realtor community
S0037_weak_useful_if,S0037,useful_if,nice_to_have,It would be useful if the system could produce search results in an acceptable time.,nice_to_have,produce search results in an acceptable time
S0037_weak_nice_if,S0037,nice_if,nice_to_have,It would be nice if the system could produce search results in an acceptable time.,nice_to_have,produce search results in an acceptable time
S0037_weak_low_priority_enhancement,S0037,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could produce search results in an acceptable time.",nice_to_have,produce search results in an acceptable time
S0037_weak_future_enhancement,S0037,future_enhancement,nice_to_have,Stakeholders mentioned that the system could produce search results in an acceptable time as a possible future enhancement.,nice_to_have,produce search results in an acceptable time
S0039_weak_useful_if,S0039,useful_if,nice_to_have,It would be useful if the system could generate a CMA report in an acceptable time.,nice_to_have,generate a CMA report in an acceptable time
S0039_weak_nice_if,S0039,nice_if,nice_to_have,It would be nice if the system could generate a CMA report in an acceptable time.,nice_to_have,generate a CMA report in an acceptable time
S0039_weak_low_priority_enhancement,S0039,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could generate a CMA report in an acceptable time.",nice_to_have,generate a CMA report in an acceptable time
S0039_weak_future_enhancement,S0039,future_enhancement,nice_to_have,Stakeholders mentioned that the system could generate a CMA report in an acceptable time as a possible future enhancement.,nice_to_have,generate a CMA report in an acceptable time
S0041_weak_useful_if,S0041,useful_if,nice_to_have,It would be useful if the system could synchronize contacts and appointments in an acceptable time.,nice_to_have,synchronize contacts and appointments in an acceptable time
S0041_weak_nice_if,S0041,nice_if,nice_to_have,It would be nice if the system could synchronize contacts and appointments in an acceptable time.,nice_to_have,synchronize contacts and appointments in an acceptable time
S0041_weak_low_priority_enhancement,S0041,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could synchronize contacts and appointments in an acceptable time.",nice_to_have,synchronize contacts and appointments in an acceptable time
S0041_weak_future_enhancement,S0041,future_enhancement,nice_to_have,Stakeholders mentioned that the system could synchronize contacts and appointments in an acceptable time as a possible future enhancement.,nice_to_have,synchronize contacts and appointments in an acceptable time
S0042_weak_useful_if,S0042,useful_if,nice_to_have,It would be useful if the system could synchronize with the office system every hour.,nice_to_have,synchronize with the office system every hour
S0042_weak_nice_if,S0042,nice_if,nice_to_have,It would be nice if the system could synchronize with the office system every hour.,nice_to_have,synchronize with the office system every hour
S0042_weak_low_priority_enhancement,S0042,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could synchronize with the office system every hour.",nice_to_have,synchronize with the office system every hour
S0042_weak_future_enhancement,S0042,future_enhancement,nice_to_have,Stakeholders mentioned that the system could synchronize with the office system every hour as a possible future enhancement.,nice_to_have,synchronize with the office system every hour
S0043_weak_useful_if,S0043,useful_if,nice_to_have,It would be useful if the system could be available for use 24 hours per day 365 days per year.,nice_to_have,be available for use 24 hours per day 365 days per year
S0043_weak_nice_if,S0043,nice_if,nice_to_have,It would be nice if the system could be available for use 24 hours per day 365 days per year.,nice_to_have,be available for use 24 hours per day 365 days per year
S0043_weak_low_priority_enhancement,S0043,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could be available for use 24 hours per day 365 days per year.",nice_to_have,be available for use 24 hours per day 365 days per year
S0043_weak_future_enhancement,S0043,future_enhancement,nice_to_have,Stakeholders mentioned that the system could be available for use 24 hours per day 365 days per year as a possible future enhancement.,nice_to_have,be available for use 24 hours per day 365 days per year
S0044_weak_useful_if,S0044,useful_if,nice_to_have,It would be useful if the system could be available for 999 out of 1000 access attempts.,nice_to_have,be available for 999 out of 1000 access attempts
S0044_weak_nice_if,S0044,nice_if,nice_to_have,It would be nice if the system could be available for 999 out of 1000 access attempts.,nice_to_have,be available for 999 out of 1000 access attempts
S0044_weak_low_priority_enhancement,S0044,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could be available for 999 out of 1000 access attempts.",nice_to_have,be available for 999 out of 1000 access attempts
S0044_weak_future_enhancement,S0044,future_enhancement,nice_to_have,Stakeholders mentioned that the system could be available for 999 out of 1000 access attempts as a possible future enhancement.,nice_to_have,be available for 999 out of 1000 access attempts
S0045_weak_useful_if,S0045,useful_if,nice_to_have,It would be useful if the system could operate in offline mode whenever internet connection is unavailable.,nice_to_have,operate in offline mode whenever internet connection is unavailable
S0045_weak_nice_if,S0045,nice_if,nice_to_have,It would be nice if the system could operate in offline mode whenever internet connection is unavailable.,nice_to_have,operate in offline mode whenever internet connection is unavailable
S0045_weak_low_priority_enhancement,S0045,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could operate in offline mode whenever internet connection is unavailable.",nice_to_have,operate in offline mode whenever internet connection is unavailable
S0045_weak_future_enhancement,S0045,future_enhancement,nice_to_have,Stakeholders mentioned that the system could operate in offline mode whenever internet connection is unavailable as a possible future enhancement.,nice_to_have,operate in offline mode whenever internet connection is unavailable
S0046_weak_useful_if,S0046,useful_if,nice_to_have,"It would be useful if the system could allow the user to view previously downloaded search results, CMA reports, and appointments.",nice_to_have,"allow the user to view previously downloaded search results, CMA reports, and appointments"
S0046_weak_nice_if,S0046,nice_if,nice_to_have,"It would be nice if the system could allow the user to view previously downloaded search results, CMA reports, and appointments.",nice_to_have,"allow the user to view previously downloaded search results, CMA reports, and appointments"
S0046_weak_low_priority_enhancement,S0046,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could allow the user to view previously downloaded search results, CMA reports, and appointments.",nice_to_have,"allow the user to view previously downloaded search results, CMA reports, and appointments"
S0046_weak_future_enhancement,S0046,future_enhancement,nice_to_have,"Stakeholders mentioned that the system could allow the user to view previously downloaded search results, CMA reports, and appointments as a possible future enhancement.",nice_to_have,"allow the user to view previously downloaded search results, CMA reports, and appointments"
S0047_weak_useful_if,S0047,useful_if,nice_to_have,It would be useful if the system could retain user preferences in the event of a failure.,nice_to_have,retain user preferences in the event of a failure
S0047_weak_nice_if,S0047,nice_if,nice_to_have,It would be nice if the system could retain user preferences in the event of a failure.,nice_to_have,retain user preferences in the event of a failure
S0047_weak_low_priority_enhancement,S0047,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could retain user preferences in the event of a failure.",nice_to_have,retain user preferences in the event of a failure
S0047_weak_future_enhancement,S0047,future_enhancement,nice_to_have,Stakeholders mentioned that the system could retain user preferences in the event of a failure as a possible future enhancement.,nice_to_have,retain user preferences in the event of a failure
S0049_weak_useful_if,S0049,useful_if,nice_to_have,It would be useful if the system could support multiple remote users.,nice_to_have,support multiple remote users
S0049_weak_nice_if,S0049,nice_if,nice_to_have,It would be nice if the system could support multiple remote users.,nice_to_have,support multiple remote users
S0049_weak_low_priority_enhancement,S0049,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could support multiple remote users.",nice_to_have,support multiple remote users
S0049_weak_future_enhancement,S0049,future_enhancement,nice_to_have,Stakeholders mentioned that the system could support multiple remote users as a possible future enhancement.,nice_to_have,support multiple remote users
S0050_weak_useful_if,S0050,useful_if,nice_to_have,It would be useful if the system could support 1000 simultaneous users.,nice_to_have,support 1000 simultaneous users
S0050_weak_nice_if,S0050,nice_if,nice_to_have,It would be nice if the system could support 1000 simultaneous users.,nice_to_have,support 1000 simultaneous users
S0050_weak_low_priority_enhancement,S0050,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could support 1000 simultaneous users.",nice_to_have,support 1000 simultaneous users
S0050_weak_future_enhancement,S0050,future_enhancement,nice_to_have,Stakeholders mentioned that the system could support 1000 simultaneous users as a possible future enhancement.,nice_to_have,support 1000 simultaneous users
S0054_weak_useful_if,S0054,useful_if,nice_to_have,It would be useful if the system could run on Windows CE and Palm operating systems.,nice_to_have,run on Windows CE and Palm operating systems
S0054_weak_nice_if,S0054,nice_if,nice_to_have,It would be nice if the system could run on Windows CE and Palm operating systems.,nice_to_have,run on Windows CE and Palm operating systems
S0054_weak_low_priority_enhancement,S0054,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could run on Windows CE and Palm operating systems.",nice_to_have,run on Windows CE and Palm operating systems
S0054_weak_future_enhancement,S0054,future_enhancement,nice_to_have,Stakeholders mentioned that the system could run on Windows CE and Palm operating systems as a possible future enhancement.,nice_to_have,run on Windows CE and Palm operating systems
S0055_weak_useful_if,S0055,useful_if,nice_to_have,It would be useful if the system could allow only registered realtors to access the system.,nice_to_have,allow only registered realtors to access the system
S0055_weak_nice_if,S0055,nice_if,nice_to_have,It would be nice if the system could allow only registered realtors to access the system.,nice_to_have,allow only registered realtors to access the system
S0055_weak_low_priority_enhancement,S0055,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could allow only registered realtors to access the system.",nice_to_have,allow only registered realtors to access the system
S0055_weak_future_enhancement,S0055,future_enhancement,nice_to_have,Stakeholders mentioned that the system could allow only registered realtors to access the system as a possible future enhancement.,nice_to_have,allow only registered realtors to access the system
S0056_weak_useful_if,S0056,useful_if,nice_to_have,It would be useful if the system could authenticate and authorize every system user.,nice_to_have,authenticate and authorize every system user
S0056_weak_nice_if,S0056,nice_if,nice_to_have,It would be nice if the system could authenticate and authorize every system user.,nice_to_have,authenticate and authorize every system user
S0056_weak_low_priority_enhancement,S0056,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could authenticate and authorize every system user.",nice_to_have,authenticate and authorize every system user
S0056_weak_future_enhancement,S0056,future_enhancement,nice_to_have,Stakeholders mentioned that the system could authenticate and authorize every system user as a possible future enhancement.,nice_to_have,authenticate and authorize every system user
S0057_weak_useful_if,S0057,useful_if,nice_to_have,It would be useful if the system could prevent incorrect data from being introduced into product data.,nice_to_have,prevent incorrect data from being introduced into product data
S0057_weak_nice_if,S0057,nice_if,nice_to_have,It would be nice if the system could prevent incorrect data from being introduced into product data.,nice_to_have,prevent incorrect data from being introduced into product data
S0057_weak_low_priority_enhancement,S0057,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could prevent incorrect data from being introduced into product data.",nice_to_have,prevent incorrect data from being introduced into product data
S0057_weak_future_enhancement,S0057,future_enhancement,nice_to_have,Stakeholders mentioned that the system could prevent incorrect data from being introduced into product data as a possible future enhancement.,nice_to_have,prevent incorrect data from being introduced into product data
S0058_weak_useful_if,S0058,useful_if,nice_to_have,It would be useful if the system could allow a real estate agent to query MLS information.,nice_to_have,allow a real estate agent to query MLS information
S0058_weak_nice_if,S0058,nice_if,nice_to_have,It would be nice if the system could allow a real estate agent to query MLS information.,nice_to_have,allow a real estate agent to query MLS information
S0058_weak_low_priority_enhancement,S0058,low_priority_enhancement,nice_to_have,"As a low-priority enhancement, the system could allow a real estate agent to query MLS information.",nice_to_have,allow a real estate agent to query MLS information
S0058_weak_future_enhancement,S0058,future_enhancement,nice_to_have,Stakeholders mentioned that the system could allow a real estate agent to query MLS information as a possible future enhancement.,nice_to_have,allow a real estate agent to query MLS information
S0059_weak_useful_if,S0059,useful_if,nice_to_have,It would be useful if the system could provide users with driving directions to a selected property.,nice_to_have,provide users with driving directions to a selected property
S0059_weak_nice_if,S0059,nice_if,nice_to_have,It would be nice if the system could provide users with driving directions to a selected property.,nice_to_have,provide users with driving directions to a selected property
