seed_id,source_dataset,source_corpus,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final,context_document,context_requirement_id,context_marker,context_section,context_before,context_after,context_legend
S0047,PURE,2007-eirene_fun_7-2,The network shall allow the user to temporarily exit from an existing call by putting the call on hold.,allow the user to temporarily exit from an existing call by putting the call on hold,yes,,yes,,allow the user to temporarily exit from an existing call by putting the call on hold,"EIRENE Functional Requirements Specification, version 7",2.4.13,M,2 Network requirements > 2.4 Call related services,2.4.12: There are a number of sub-classes of call forwarding to be supported by the network: automatically forward the incoming call without any user interaction ( unconditional ); (M) automatically forward the incoming call without user interaction if the user is busy in an existing call ( busy ); (M) automatically forward the incoming call if there is no reply from the intended recipient ( no reply ); (O) automatically forward the incoming call if the intended recipient cannot be contacted via the network ( not reachable ). (O),2.4.14 (M): It shall be possible for the user to re-join the call which is on hold at any time.,"(M) mandatory, (O) optional"
S0049,PURE,2007-eirene_fun_7-2,"The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them.","provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them",yes,,yes,,"provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them","EIRENE Functional Requirements Specification, version 7",2.4.15,M,2 Network requirements > 2.4 Call related services,2.4.14 (M): It shall be possible for the user to re-join the call which is on hold at any time.,"2.4.16 (O): Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges.","(M) mandatory, (O) optional"
S0050,PURE,2007-eirene_fun_7-2,"Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges.",be possible for the network to provide information about call rates and on-going call charges,yes,,yes,,be possible for the network to provide information about call rates and on-going call charges,"EIRENE Functional Requirements Specification, version 7",2.4.16,O,2 Network requirements > 2.4 Call related services,"2.4.15 (M): The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them.","2.4.17 (M): It shall be possible, using network management or maintenance facilities, to prevent individual users from:","(M) mandatory, (O) optional"
S0057,PURE,2007-eirene_fun_7-2,The network shall support all EIRENE-compliant mobiles.,support all EIRENE-compliant mobiles,yes,,yes,,support all EIRENE-compliant mobiles,"EIRENE Functional Requirements Specification, version 7",3.2.3,M,3 Network configuration > 3.2 Coverage and performance,3.2.2 (O): The level of coverage should be at least 95% of the time over 95% of the designated coverage area for a radio installed in a vehicle with an external antenna.,3.2.4: The land-based part of the system shall provide communications for mobiles when stationary and when travelling at speeds up to the maximum allowable line speed or,"(M) mandatory, (O) optional"
S0088,PURE,2007-eirene_fun_7-2,"All design, testing and installation of EIRENE mobile radio equipment shall comply with the quality procedures defined in ISO 9001 .",comply with the quality procedures defined in ISO 9001,yes,,yes,,comply with the quality procedures defined in ISO 9001,"EIRENE Functional Requirements Specification, version 7",4.3.5,M,4 Mobile equipment core specification > 4.3 Environmental and physical requirements,"4.3.4 (M): Any environmental and physical requirements stated may be superseded by national requirements if the national standards provide a higher level of environmental and physical protection. However, stricter national standards shall not prevent the use of other EIRENE mobiles in that country.","4.3.6 (M): Any pressure pulses caused by vehicles passing, entering or leaving tunnels shall not affect the normal operation of EIRENE mobile equipment.","(M) mandatory, (O) optional"
S0096,PURE,2007-eirene_fun_7-2,"Moreover, a driver may be provided with a handheld portable to allow communications whilst the driver is outside the train.",be provided with a handheld portable to allow communications whilst the driver is outside the train,yes,,yes,,be provided with a handheld portable to allow communications whilst the driver is outside the train,"EIRENE Functional Requirements Specification, version 7",5.1.2,O,5 Cab radio > 5.1 Introduction,"5.1.1 (I): This section identifies the functional requirements for the EIRENE Cab radio. It covers the functionality provided by the Cab radio, driver MMI and support to other on-train systems.","5.2.1.1 (I): In this subsection, the functions to be provided by the Cab radio are described.","(M) mandatory, (O) optional"
S0108,PURE,2007-eirene_fun_7-2,An audible and visual indication shall be provided to the driver that the call is proceeding.,be provided to the driver that the call is proceeding,yes,,yes,,be provided to the driver that the call is proceeding,"EIRENE Functional Requirements Specification, version 7",5.2.2.4,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.3i: The functional identity includes the following: the train number, if available; (M) the engine number, if no train number is available; (M) the coach number of the leading cab, if neither a train number nor an engine number is available. (O)","5.2.2.5 (M): When the call is connected to the controller, an audible and visual indication is to be provided to the driver. The call shall be connected to the loudspeaker at the pre-set value.","(M) mandatory, (O) optional"
S0111,PURE,2007-eirene_fun_7-2,"If the functional identity of the connected party contains an alphanumeric description, this shall also be displayed.",also be displayed,yes,,yes,,also be displayed,"EIRENE Functional Requirements Specification, version 7",5.2.2.7,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.6 (M): The functional identity of the connected party, if available, shall be displayed to the driver.","5.2.2.8 (M): If the system is not able to connect the call, an audible and visual indication shall be provided to the driver that the call was not received by the controller. This shall also indicate if the called party was busy or if the network could not connect the call.","(M) mandatory, (O) optional"
S0115,PURE,2007-eirene_fun_7-2,The group identity shall be displayed on the Cab radios of the participating drivers.,be displayed on the Cab radios of the participating drivers,yes,,yes,,be displayed on the Cab radios of the participating drivers,"EIRENE Functional Requirements Specification, version 7",5.2.2.11,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,5.2.2.10 (M): A driver shall be able to initiate the establishment of a call to other drivers with a minimum of action (eg a single keystroke).,5.2.2.12 (M): An audible and visual indication shall be provided to the driver that the call is proceeding.,"(M) mandatory, (O) optional"
S0129,PURE,2007-eirene_fun_7-2,"Whilst on-going, a multi-drivers indication shall be displayed permanently at all Cab radios.",be displayed permanently at all Cab radios,yes,,yes,,be displayed permanently at all Cab radios,"EIRENE Functional Requirements Specification, version 7",5.2.2.28,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,5.2.2.27 (I): The call will be established from the active cab of the lead traction vehicle.,"5.2.2.29 (M): The lead driver shall be notified if a member of the group has placed the call on hold, although this shall not affect communications between the remaining members of the group.","(M) mandatory, (O) optional"
S0131,PURE,2007-eirene_fun_7-2,"At any time during the call, the lead driver shall be able to remove a member of the group.",remove a member of the group,yes,,yes,,remove a member of the group,"EIRENE Functional Requirements Specification, version 7",5.2.2.30,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.29 (M): The lead driver shall be notified if a member of the group has placed the call on hold, although this shall not affect communications between the remaining members of the group.",5.2.2.31 (M): The lead driver shall be able to terminate the entire call.,"(M) mandatory, (O) optional"
S0133,PURE,2007-eirene_fun_7-2,"If a driver is disconnected from the multi-driver call, a clear indication shall be given.",be given,yes,,yes,,be given,"EIRENE Functional Requirements Specification, version 7",5.2.2.32,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,5.2.2.31 (M): The lead driver shall be able to terminate the entire call.,5.2.2.33 (M): The setting up and closing down of a multi-driver call shall be simplified using automation or guidance through the steps required.,"(M) mandatory, (O) optional"
S0141,PURE,2007-eirene_fun_7-2,The driver shall then be prompted to select the train staff with which he wishes to communicate.,then be prompted to select the train staff with which he wishes to communicate,yes,,yes,,then be prompted to select the train staff with which he wishes to communicate,"EIRENE Functional Requirements Specification, version 7",5.2.2.40,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.39 (M): Upon activation of this function, the Cab radio shall provide the driver with a list of generic staff, eg:","5.2.2.41 (M): On many trains, staff may be connected by intercom or internal telephone rather than by radio. It is required that, in these cases, the Cab radio shall be integrated with internal communication systems such that the appropriate means of connection (wire or radio) will be determined automatically.","(M) mandatory, (O) optional"
S0151,PURE,2007-eirene_fun_7-2,The driver shall be informed if a broadcast call is ongoing by a visual indication displayed on the MMI.,be informed if a broadcast call is ongoing by a visual indication displayed on the MMI,yes,,yes,,be informed if a broadcast call is ongoing by a visual indication displayed on the MMI,"EIRENE Functional Requirements Specification, version 7",5.2.2.50,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.49 (M): Group or broadcast calls shall automatically be connected to the loudspeaker if the handset is not in use, or to the handset if the handset is off hook.",5.2.2.50i (I): It is not possible for the driver to speak as part of the call when receiving a broadcast call.,"(M) mandatory, (O) optional"
S0154,PURE,2007-eirene_fun_7-2,"During a group call, a visual indication shall be displayed on the drivers MMI to remind the driver of the need to use the PTT button.",be displayed on the drivers MMI to remind the driver of the need to use the PTT button,yes,,yes,,be displayed on the drivers MMI to remind the driver of the need to use the PTT button,"EIRENE Functional Requirements Specification, version 7",5.2.2.52,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.51 (M): If the call is a group call, the driver shall be required to request permission before being able to speak as part of the call by lifting the handset and pushing the Push-To- Talk (PTT) button.",5.2.2.53 (I): The driver can not speak in a group call until permission is granted by the network after pushing the PTT button.,"(M) mandatory, (O) optional"
S0168,PURE,2007-eirene_fun_7-2,The link assurance tone shall be provided via the loudspeaker.,be provided via the loudspeaker,yes,,yes,,be provided via the loudspeaker,"EIRENE Functional Requirements Specification, version 7",5.2.2.66,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,5.2.2.65 (M): The functionality to enter and leave shunting mode shall not be available when there are on-going calls involving the Cab radio.,"5.2.2.67 (I): If the Cab radio is equipped with an additional security device, this audible indication may be muted for the drivers convenience. In this case, the security device alerts the driver if the link has failed or if it is cancelled.","(M) mandatory, (O) optional"
S0171,PURE,2007-eirene_fun_7-2,"If direct mode is implemented, a means to enter and leave direct mode shall be provided.",be provided,yes,,yes,,be provided,"EIRENE Functional Requirements Specification, version 7",5.2.2.69,M,5 Cab radio > 5.2 Functional requirements > 5.2.2 Driver call related functions,"5.2.2.68 (O): It should be possible for the Cab radio to be used without the network service (if it should fail or if there is no authorised network coverage), such that local open channel communications are still possible. This mode of operation is termed direct mode (see section 15).","5.2.2.70 (M): If the radio is in direct mode and the normal network service returns, the user shall be provided with an audible and visual indication.","(M) mandatory, (O) optional"
S0180,PURE,2007-eirene_fun_7-2,Powering down the Cab radio shall cause the disconnection of the Cab radio from the mobile network.,cause the disconnection of the Cab radio from the mobile network,yes,,yes,,cause the disconnection of the Cab radio from the mobile network,"EIRENE Functional Requirements Specification, version 7",5.2.3.3,M,5 Cab radio > 5.2 Functional requirements,"5.2.3.2 (I): At the point of successful connection, the Cab radio will be able to receive all calls made using the Cab radios telephone number, engine number or appropriate group call numbers (including Railway emergency calls).","5.2.3.4 (M): When switched off, the radio shall retain any numbers which are stored at the time the radio is switched off.","(M) mandatory, (O) optional"
S0181,PURE,2007-eirene_fun_7-2,"When switched off, the radio shall retain any numbers which are stored at the time the radio is switched off.",retain any numbers which are stored at the time the radio is switched off,yes,,yes,,retain any numbers which are stored at the time the radio is switched off,"EIRENE Functional Requirements Specification, version 7",5.2.3.4,M,5 Cab radio > 5.2 Functional requirements,5.2.3.3 (M): Powering down the Cab radio shall cause the disconnection of the Cab radio from the mobile network.,5.2.3.5 (M): The MMI on/off control shall be designed to prevent accidental activation/ deactivation.,"(M) mandatory, (O) optional"
S0187,PURE,2007-eirene_fun_7-2,"As far as possible, the above procedure should also apply on power failure.",also apply on power failure,yes,,yes,,also apply on power failure,"EIRENE Functional Requirements Specification, version 7",5.2.3.10,O,5 Cab radio > 5.2 Functional requirements,5.2.3.9 (M): Switch off shall be soft so that the Cab radio completes the following housekeeping functions before actually switching off:,"5.2.3.11 (M): When switched off, the following functions (if available) shall still be provided:","(M) mandatory, (O) optional"
S0213,PURE,2007-eirene_fun_7-2,"If an automated request is initiated (option 2), the driver shall be able to accept or reject the train number returned by the network.",accept or reject the train number returned by the network,yes,,yes,,accept or reject the train number returned by the network,"EIRENE Functional Requirements Specification, version 7",5.2.3.28,M,5 Cab radio > 5.2 Functional requirements,"5.2.3.27 (M): Where the driver is required to enter the train number information, the information entered shall be shown on the display and require confirmation by the driver before further actions are possible.","5.2.3.28i (M): Where ERTMS/ETCS and radio systems are available and the driver is required to enter the train number as part of the initialisation procedure, this task shall be carried out only once on the ERTMS/ETCS system and the entered number transmitted to the radio system.","(M) mandatory, (O) optional"
S0216,PURE,2007-eirene_fun_7-2,The driver shall be warned (by audible and visual indications) if a train with the same train number is already registered on the same network.,be warned (by audible and visual indications) if a train with the same train number is already registered on the same network,yes,,yes,,be warned (by audible and visual indications) if a train with the same train number is already registered on the same network,"EIRENE Functional Requirements Specification, version 7",5.2.3.29,M,5 Cab radio > 5.2 Functional requirements,5.2.3.28ii (I): 5.2.3.28ii Data entry may be from either system depending on the operating procedures agreed between the train operator and the railway infrastructure operator.,5.2.3.30 (M): A means to override the currently registered train number shall be provided to the newly registering driver.,"(M) mandatory, (O) optional"
S0220,PURE,2007-eirene_fun_7-2,"Non leading drivers shall be able to indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc).","indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc)",yes,,yes,,"indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc)","EIRENE Functional Requirements Specification, version 7",5.2.3.33,M,5 Cab radio > 5.2 Functional requirements,"5.2.3.32 (M): Where a change of train number is required during the course of a trains journey, it shall be possible for the driver to initiate the change or override the automatic change. This shall be carried out by entering the train number (option 1 in 5.2.3.26).",5.2.3.34 (M): The drivers functional number shall be automatically registered/deregistered when the train number is registered/deregistered.,"(M) mandatory, (O) optional"
S0221,PURE,2007-eirene_fun_7-2,The drivers functional number shall be automatically registered/deregistered when the train number is registered/deregistered.,be automatically registered/deregistered when the train number is registered/deregistered,yes,,yes,,be automatically registered/deregistered when the train number is registered/deregistered,"EIRENE Functional Requirements Specification, version 7",5.2.3.34,M,5 Cab radio > 5.2 Functional requirements,"5.2.3.33 (M): Non leading drivers shall be able to indicate to the system their location in the train during the registration procedure (2nd driver, 3rd driver etc).",5.2.3.35 (M): The functional number of other on-train users who may be addressed through the Cab radio via the on-train bus shall be registered/deregistered automatically at the same time as the registration/deregistration of the drivers functional number.,"(M) mandatory, (O) optional"
S0233,PURE,2007-eirene_fun_7-2,The result of the tests shall be displayed in a similar format to the self-test when MMI is powered on.,be displayed in a similar format to the self-test when MMI is powered on,yes,,yes,,be displayed in a similar format to the self-test when MMI is powered on,"EIRENE Functional Requirements Specification, version 7",5.2.3.46,M,5 Cab radio > 5.2 Functional requirements,5.2.3.45 (M): Such tests shall not prevent calls.,"5.2.4.1 (I): The Cab radio system may be required to be able to handle incoming and outgoing calls not only to and from the driver, but also to and from other on-train users and devices (conductor, public address system, data systems, etc) via appropriate interfaces and ports.","(M) mandatory, (O) optional"
S0238,PURE,2007-eirene_fun_7-2,"In order to meet other call priorities, established calls shall be able to be either put on hold or cleared down (pre-empted).",be either put on hold or cleared down (pre-empted),yes,,yes,,be either put on hold or cleared down (pre-empted),"EIRENE Functional Requirements Specification, version 7",5.2.4.5,M,5 Cab radio > 5.2 Functional requirements,"5.2.4.4 (M): The Cab radio may be required to set up calls from a number of different sources. Therefore, the radio shall provide a priority function for calls from different sources in order to handle contention for the radio.",5.2.4.6 (M): The Cab radio shall be capable of handling contention between calls of differing priorities.,"(M) mandatory, (O) optional"
S0241,PURE,2007-eirene_fun_7-2,"Where pre-emption occurs, an advisory indication may be provided to the pre-empted parties.",be provided to the pre-empted parties,yes,,yes,,be provided to the pre-empted parties,"EIRENE Functional Requirements Specification, version 7",5.2.4.8,O,5 Cab radio > 5.2 Functional requirements,5.2.4.7 (M): An outgoing call request of higher priority than an established call shall take precedence over the established call.,5.2.4.9 (M): Priority call handling facilities shall be provided such that the performance requirements defined in sections 3.4 and 10.2 can be met.,"(M) mandatory, (O) optional"
S0243,PURE,2007-eirene_fun_7-2,"Upon the request of the driver, the Cab radio should be able to perform a suite of run- time diagnostic tests on all physical interfaces.",perform a suite of run- time diagnostic tests on all physical interfaces,yes,,yes,,perform a suite of run- time diagnostic tests on all physical interfaces,"EIRENE Functional Requirements Specification, version 7",5.2.4.10,O,5 Cab radio > 5.2 Functional requirements,5.2.4.9 (M): Priority call handling facilities shall be provided such that the performance requirements defined in sections 3.4 and 10.2 can be met.,"5.2.4.11 (M): If run-time diagnostics are implemented, failure of an interface shall be reported to the driver via the display.","(M) mandatory, (O) optional"
S0245,PURE,2007-eirene_fun_7-2,"If run-time diagnostics are implemented, all failures should be available to be recorded in a train-borne recorder.",be available to be recorded in a train-borne recorder,yes,,yes,,be available to be recorded in a train-borne recorder,"EIRENE Functional Requirements Specification, version 7",5.2.4.12,O,5 Cab radio > 5.2 Functional requirements,"5.2.4.11 (M): If run-time diagnostics are implemented, failure of an interface shall be reported to the driver via the display.","5.2.4.13 (M): If run-time diagnostics are implemented, diagnostic tests shall not interfere with normal operation of the Cab radio.","(M) mandatory, (O) optional"
S0259,PURE,2007-eirene_fun_7-2,"The driver shall be able to adjust the brightness of buttons, indicator lights and displays according to the ambient lighting in the cab.","adjust the brightness of buttons, indicator lights and displays according to the ambient lighting in the cab",yes,,yes,,"adjust the brightness of buttons, indicator lights and displays according to the ambient lighting in the cab","EIRENE Functional Requirements Specification, version 7",5.4.5,M,5 Cab radio > 5.4 Driver man-machine interface,5.4.4 (I): Note: there is no requirement for hands free operation.,5.4.6 (M): The driver shall be able to adjust the contrast of the display.,"(M) mandatory, (O) optional"
S0260,PURE,2007-eirene_fun_7-2,The driver shall be able to adjust the contrast of the display.,adjust the contrast of the display,yes,,yes,,adjust the contrast of the display,"EIRENE Functional Requirements Specification, version 7",5.4.6,M,5 Cab radio > 5.4 Driver man-machine interface,"5.4.5 (M): The driver shall be able to adjust the brightness of buttons, indicator lights and displays according to the ambient lighting in the cab.",5.4.7 (M): The emergency call button shall be red and shall be protected against accidental use.,"(M) mandatory, (O) optional"
S0262,PURE,2007-eirene_fun_7-2,"Any displays shall be clearly readable from a normal drivers position, assuming a normal reading distance.","be clearly readable from a normal drivers position, assuming a normal reading distance",yes,,yes,,"be clearly readable from a normal drivers position, assuming a normal reading distance","EIRENE Functional Requirements Specification, version 7",5.4.8,M,5 Cab radio > 5.4 Driver man-machine interface,5.4.7 (M): The emergency call button shall be red and shall be protected against accidental use.,5.4.9 (M): Displayed characters shall have a minimum height of 5mm.,"(M) mandatory, (O) optional"
S0269,PURE,2007-eirene_fun_7-2,"If contact with the mobile radio network is lost, then the Cab radio shall give an audible and visual indication.",give an audible and visual indication,yes,,yes,,give an audible and visual indication,"EIRENE Functional Requirements Specification, version 7",5.4.16,M,5 Cab radio > 5.4 Driver man-machine interface,5.4.15 (M): Cab radios shall provide a means of preventing tampering.,5.5.1: Deleted.,"(M) mandatory, (O) optional"
S0270,PURE,2007-eirene_fun_7-2,A driver safety device (DSD) interface should be provided in traction units that are equipped with a DSD in order to support the transmission of a DSD alarm.,be provided in traction units that are equipped with a DSD in order to support the transmission of a DSD alarm,yes,,yes,,be provided in traction units that are equipped with a DSD in order to support the transmission of a DSD alarm,"EIRENE Functional Requirements Specification, version 7",5.7.1,O,5 Cab radio > 5.7 Driver safety device interface,5.6.1: Deleted.,"5.7.1i (M): If such an interface is implemented, it shall be capable of being connected to a device complying with UIC fiche 641 concerning automatic vigilance devices used in international traffic.","(M) mandatory, (O) optional"
S0272,PURE,2007-eirene_fun_7-2,The activation of the driver safety device shall automatically trigger the Cab radio to send a data message.,automatically trigger the Cab radio to send a data message,yes,,yes,,automatically trigger the Cab radio to send a data message,"EIRENE Functional Requirements Specification, version 7",5.7.2,M,5 Cab radio > 5.7 Driver safety device interface,"5.7.1i (M): If such an interface is implemented, it shall be capable of being connected to a device complying with UIC fiche 641 concerning automatic vigilance devices used in international traffic.",5.7.3: The DSD alarm call/message shall provide the following information: train number; (M) engine number; (M) location information. (O),"(M) mandatory, (O) optional"
S0274,PURE,2007-eirene_fun_7-2,DSD alarm information shall be transmitted to the primary controller.,be transmitted to the primary controller,yes,,yes,,be transmitted to the primary controller,"EIRENE Functional Requirements Specification, version 7",5.7.4,M,5 Cab radio > 5.7 Driver safety device interface,5.7.3: The DSD alarm call/message shall provide the following information: train number; (M) engine number; (M) location information. (O),5.7.5 (O): Additional information may also be provided if available from external systems.,"(M) mandatory, (O) optional"
S0275,PURE,2007-eirene_fun_7-2,Additional information may also be provided if available from external systems.,also be provided if available from external systems,yes,,yes,,also be provided if available from external systems,"EIRENE Functional Requirements Specification, version 7",5.7.5,O,5 Cab radio > 5.7 Driver safety device interface,5.7.4 (M): DSD alarm information shall be transmitted to the primary controller.,5.8.1: The Cab radio shall be able to provide the following information to a train-borne recorder or other equipment via a standardised interface: activation of Cab radio emergency call button; (M) receipt of incoming Railway emergency call; (M) termination of outgoing or incoming Railway emergency call; (M) radio faults; (O) driver safety device alarm message transmission; (M) details of confirmation of Railway emergency call. (M),"(M) mandatory, (O) optional"
S0277,PURE,2007-eirene_fun_7-2,On-train mobiles shall provide a standardised interface to ERTMS/ETCS.,provide a standardised interface to ERTMS/ETCS,yes,,yes,,provide a standardised interface to ERTMS/ETCS,"EIRENE Functional Requirements Specification, version 7",5.9.1,M,5 Cab radio > 5.9 Control/command interfaces,5.8.1: The Cab radio shall be able to provide the following information to a train-borne recorder or other equipment via a standardised interface: activation of Cab radio emergency call button; (M) receipt of incoming Railway emergency call; (M) termination of outgoing or incoming Railway emergency call; (M) radio faults; (O) driver safety device alarm message transmission; (M) details of confirmation of Railway emergency call. (M),"5.9.2 (I): In addition, individual railways may have requirements to interface to national control/command systems.","(M) mandatory, (O) optional"
S0279,PURE,2007-eirene_fun_7-2,Other interfaces may be provided in the Cab radio system.,be provided in the Cab radio system,yes,,yes,,be provided in the Cab radio system,"EIRENE Functional Requirements Specification, version 7",5.10.1,O,5 Cab radio > 5.10 Other interfaces,"5.9.2 (I): In addition, individual railways may have requirements to interface to national control/command systems.",6.1.1 (I): This section identifies the functional requirements for General purpose radio. It covers the functionality to be provided by the General purpose radio and the man-machine interface (MMI) is also defined.,"(M) mandatory, (O) optional"
S0287,PURE,2007-eirene_fun_7-2,"Where available, the functional identity of the calling party shall be displayed.",be displayed,yes,,yes,,be displayed,"EIRENE Functional Requirements Specification, version 7",6.2.2.6,M,6 General purpose radio > 6.2 Functional requirements,6.2.2.5 (M): An audible and visual indication of an incoming call shall be provided.,6.2.2.7 (M): A short audible and visual indication of the incoming call shall be provided.,"(M) mandatory, (O) optional"
