Seed,Source corpus,Original requirement,Final capability text
S5326,2011_dot_WEB,The Misbehavior Management Subsystem shall process up to [TBD] misbehavior reports per minute from System Users.,process up to [TBD] misbehavior reports per minute from System Users
S5542,0000_mss_WEB,The EO head drive system shall provide conducting observation in all directions at any height above the roof of the vehicle,provide conducting observation in all directions at any height above the roof of the vehicle
S5811,2019_jpss_dps,The Snow Cover/Depth product shall provide snow depth with a measurement range from 5 to 60 cm.,provide snow depth with a measurement range from 5 to 60 cm
S5986,2021_tmt_ord_WEB,The TMT Observatory shall provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC).,provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC)
S6169,2006_hgs_ird_web,The HSC shall pull spacecraft attitude algorithm and data updates from the MOC.,pull spacecraft attitude algorithm and data updates from the MOC
S6347,2019_jpss_l2_WEB,"The NESDIS ESPC shall make available all products identified in Appendix A as ""ESPC Product Generation"" to CLASS.","make available all products identified in Appendix A as ""ESPC Product Generation"" to CLASS"
S6400,2021_gmt_oad_web,The lower enclosure shall provide space for a utility shaft.,provide space for a utility shaft
S6449,2019_jpss_dps,The Snowfall Rate (SFR) product shall provide water equivalent snowfall amount in unit time globally.,provide water equivalent snowfall amount in unit time globally
S6555,2019_jpss_dps,"The Snow Cover product shall provide snow cover globally, in daytime and night, under all weather","provide snow cover globally, in daytime and night, under all weather"
S6633,2015_skal0_WEB,SKA1-LOW shall provide 50 dB spectral dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1).,provide 50 dB spectral dynamic range at 300 arcsec spatial and 1 MHz spectral resolution to enable EoR imaging at 50  200 MHz (HPSO 1)
S6822,2013_echo_srd_WEB,More than 50 (TBC) of the planets observed in the Chemical Census tier should be observed in the Origin tier.,observe more than 50 of the planets observed in the Chemical Census tier in the Origin tier
S7050,2004_hp_srs_web,"Fatigue analysis shall be carried out where relevant, and demonstrate a positive reserve after application of 4 times the most constraining life cycles.",carry out fatigue analysis where relevant and demonstrate a positive reserve after applying 4 times the most constraining life cycles
S7344,0000_mss_WEB,There shall be possibility to power the equipment set from vehicles alternator.,allow the equipment set to be powered from the vehicle's alternator
S7372,2019_jpss_l1rds_web,Performance impact assessments of proposed configuration changes to the data product ground processing software shall be completed and documented prior to those changes being implemented in the operational baseline.,complete and document performance impact assessments of proposed configuration changes to the data product ground processing software prior to implementing those changes in the operational baseline
S7564,2015_due_web,The GBPS retrieval shall include a L-band module capable to derive growing stock volume from L-band SAR data,include an L-band module that derives growing stock volume from L-band SAR data
S7643,2017_s45_mrtd_web,Measurements in the SWIR shall be made of the reflected solar radiance on the illuminated side of the Earths atmosphere.,make measurements in the SWIR of the reflected solar radiance on the illuminated side of the Earth's atmosphere
S7816,2011_marcopolo_srd_WEB,"It shall be possible to calibrate the colour response of the instruments, by providing a calibration target (if mission analysis foresees a lunar flyby, allow imaging of Apollo 16 landing site).","enable calibration of the colour response of the instruments by providing a calibration target and, if mission analysis foresees a lunar flyby, allow imaging of the Apollo 16 landing site"
S8583,2006_hgs_ird_web,The HSC shall make available to the ICC@ICC the instrument memory images of their respective instruments received from the MOC.,make available to the ICC@ICC the instrument memory images of their respective instruments received from the MOC
S9005,2005_skal1_WEB,The total steady state power budget for the African site shall be within the limits specified in SKA Power Budget SKA- SE-POW-TN-001 [21].,keep the total steady-state power budget for the African site within the limits specified in SKA Power Budget SKA-SE-POW-TN-001 [21]
S9361,2021_tmt_oad_WEB,NFIRAOS Subsystem shall be designed to be upgradeable to a higher order AO system [REQ-1-OAD-2745] that interfaces to a wider-field near infra-red science instruments.,be designed to be upgradeable to a higher order AO system [REQ-1-OAD-2745] that interfaces to a wider-field near infra-red science instruments
S9539,2013_loft_mrd_web,The S/C shall support interruption of the mission timeline execution by ground command.,support interruption of the mission timeline execution by ground command
S9787,2005_skal1_WEB,"The SKA1_mid telescope shall be capable of operating in a Pulsar search mode, concurrently with Continuum imaging mode.",operate in a Pulsar search mode concurrently with Continuum imaging mode
S9848,2018_jpss_l0_web,The algorithm shall produce an ice age/thickness product that has a mapping uncertainty (3 sigma) of 1 km at Nadir for clear pixels.,produce an ice age/thickness product that has a mapping uncertainty (3 sigma) of 1 km at Nadir for clear pixels
S10111,2019_jpss_l2_WEB,The ESPC shall make available one complete set (primary set) of data products identified in Appendix A from the science data acquired from the JPSS GS.,make available one complete set (primary set) of data products identified in Appendix A from the science data acquired from the JPSS GS
S10194,2015_due_web,The GBPS retrieval module shall produce growing stock volume maps from multitemporal SAR data.,produce growing stock volume maps from multitemporal SAR data
S10354,2007_trs_mrd_web,The routine ground station(s) shall be capable of commanding and controlling the spacecraft,provide routine ground station(s) for commanding and controlling the spacecraft
S10453,2021_tmt_srd_WEB,The observatory shall provide means for re-coating of the telescope optics to maintain throughput and minimize thermal emission.,provide means for re-coating of the telescope optics to maintain throughput and minimize thermal emission
S10565,2009_gg_WEB,"The satellite shall autonomously detect its status, basing on automatic self-check procedures and programmable decision tables.","autonomously detect its status, basing on automatic self-check procedures and programmable decision tables"
S10580,2019_jpss_l2_WEB,The NESDIS ESPC outages in support of JPSS functions shall be less than 5 hours over a 30day period.,limit NESDIS ESPC outages in support of JPSS functions to less than 5 hours over a 30-day period
S10837,2013_echo_srd_WEB,More than 20 (TBC) of the planets observed in the Chemical Census tier should be observed in the Rosetta Stone tier.,observe more than 20 of the planets observed in the Chemical Census tier in the Rosetta Stone tier
S10922,2009_gg_WEB,The spacecraft electrical power S/S shall provide sufficient power to the payload during all mission phases.,provide sufficient power to the payload during all mission phases
S10982,2011_dot_WEB,The Network Services Subsystem shall report data detection misbehavior to the Misbehavior Management Subsystem.,report data detection misbehavior to the Misbehavior Management Subsystem
S11067,2021_gmt_oad_web,The SSB shall provide a magnetron target room.,provide a magnetron target room
S12062,2013_loft_mrd_web,"After separation from the launcher, the S/C shall autonomously activate its TT&C system with at least one Tx and Rx channel active to enable ground to establish contact.",autonomously activate its TT&C system with at least one Tx and Rx channel active to enable ground to establish contact
S12261,2011_dot_WEB,The Time Subsystem shall send time to all Core System subsystems every 100ms [TBD].,send time to all Core System subsystems every 100ms [TBD]
S12433,1998_grace_WEB,Both GRACE satellites shall be launched as a dual payload on a single launch vehicle.,be launched as a dual payload on a single launch vehicle
S12465,2018_jpss_l0_web,The algorithm shall produce an ozone limb profile product that has a vertical reporting interval of 1 km.,produce an ozone limb profile product that has a vertical reporting interval of 1 km
S12688,2012_marcopolo_WEB,The DHS system shall be compatible with the maximum data rates of each instrument as specified in [RD16].,be compatible with the maximum data rates of each instrument as specified in [RD16]
S13143,2011_marcopolo_srd_WEB,Complete images obtained with the Star Trackers and navigation camera (if any) should be made available to scientists upon request.,make complete images obtained with the Star Trackers and navigation camera (if any) available to scientists upon request
S13213,2018_jpss_l0_web,The algorithm shall produce a soil moisture product under all-weather conditions.,produce a soil moisture product under all-weather conditions
S13852,2015_due_web,The GBPS shall support stability of the processing chain for re- processing and its continuous extension in order to support consistency of the output dataset.,support stability of the processing chain for re- processing and its continuous extension in order to support consistency of the output dataset
S13965,2021_gmt_oad_web,The GMT Observatory shall provide equipment and establish procedures for in-telescope CO2 cleaning of the M2 reflective surfaces.,provide equipment and establish procedures for in-telescope CO2 cleaning of the M2 reflective surfaces
S14239,2005_wise_mos_WEB,The MOS shall as a goal develop and maintain validated command products for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements.,develop and maintain validated command products for anomalies whose recovery response time would result in a significant threat to the achievement of level 1 requirements
S14382,2021_tmt_oad_WEB,OSA software subsystems shall use Graphical user interfaces (GUIs) as the default for all normal scientific and technical operations.,use Graphical user interfaces (GUIs) as the default for all normal scientific and technical operations
S14407,2021_tmt_srd_WEB,The NFIRAOS unvignetted field of view shall be at least 2 arcmin diameter.,provide an NFIRAOS unvignetted field of view with a diameter of at least 2 arcmin
S14422,2004_hp_srs_web,The initial design shall ensure that sufficient (including spare) pins are available for all foreseeable subsystem and experiment functions.,ensure that sufficient (including spare) pins are available for all foreseeable subsystem and experiment functions
S14432,2013_echo_srd_WEB,More than 25 (TBC) of the planets observed in the Chemical Census tier shall be observed in the Origin tier.,observe more than 25 of the planets observed in the Chemical Census tier in the Origin tier
S14589,2012_stequest_mrd_web,Link budget calculation for downlink shall be based on a maximum FER of 1E-7 at decoder output.,base downlink link-budget calculation on a maximum FER of 1E-7 at decoder output
S14614,2019_jpss_dps,The Atmospheric Vertical Moisture Profile product shall provide atmospheric vertical moisture profiles with a horizontal cell size of 50 kilometers at nadir.,provide atmospheric vertical moisture profiles with a horizontal cell size of 50 kilometers at nadir
S14662,2021_gmt_ord_web,The GMT shall provide protection from lightning.,provide protection from lightning
S14831,2021_gmt_oad_web,"The M2 Positioner shall compensate for the smaller, differential motions of the M2 segments.","compensate for the smaller, differential motions of the M2 segments"
S15350,2008_earthcare_web,The LEOP shall start at switchover from ground-supplied power to the space segment internal batteries.,start LEOP at switchover from ground-supplied power to the space segment internal batteries
S15399,2016_teser_web,IF-SC shall withstand mechanical loads in all mission phases as defined in [AD2],withstand mechanical loads in all mission phases as defined in [AD2]
S15412,2011_marcopolo_srd_WEB,"The inner structure of the NEA should be constrained, with the goal of doing this to a depth of about 100 m and a spatial resolution of about 10 m.",constrain the inner structure of the NEA to about 100 m depth and about 10 m spatial resolution
S15447,2021_tmt_ord_WEB,The observatory shall be designed to support the following duty cycle over its 50-year lifespan.,be designed to support the following duty cycle over its 50-year lifespan
S15458,2011_marcopolo_srd_WEB,"During the complete manufacturing process of the spacecraft, procedures shall be in place to keep all parts of the spacecraft clean to a level to be specified.",have procedures in place during the complete spacecraft manufacturing process to keep all parts of the spacecraft clean
S15528,2019_jpss_l2_WEB,The ESPC shall transition full operations between the COOP and primary facilities in less than 12 hours.,transition full operations between the COOP and primary facilities in less than 12 hours
S15663,2021_tmt_srd_WEB,The IRIS imager shall have a field of view greater than 30 x 30 arcsec.,have a field of view greater than 30 x 30 arcsec
S15746,0000_mss_WEB,The radio terminal must provide IP packet data transmission.,provide IP packet data transmission
S15847,2015_due_web,The GBPS shall provide means to ensure the quality of its outputs.,provide means to ensure the quality of its outputs
S16300,0000_mss_WEB,Suitable Car antennas must be provided.,provide suitable car antennas
S16356,2012_d51_web,The system shall automatically detect new ancillary data associated with recognised primary satellite data where such ancillary data is as defined by the DARD.,automatically detect new ancillary data associated with recognised primary satellite data where such ancillary data is as defined by the DARD
S16894,2005_skal1_WEB,"Each Element supplier shall provide a list of hazardous materials used for all items intended for use in the SKA1 detailing suggested handling precautions, disposal instructions and contra- indications.","provide a list of hazardous materials used for all items intended for use in the SKA1 detailing suggested handling precautions, disposal instructions and contra- indications"
S16962,0000_mss_WEB,The display simultaneously must present text and icons to show the status of the radio.,simultaneously present text and icons to show the status of the radio
S17172,2004_hp_srs_web,The initial design for Primary Structures shall be subject to Longitudinal loads of 5 G and Lateral loads of 3 G .,provide an initial design for Primary Structures subject to Longitudinal loads of 5 G and Lateral loads of 3 G
S17602,2015_skal0_WEB,SKA1-LOW shall provide the capability to change observing modes within less than 5 seconds.,provide the capability to change observing modes within less than 5 seconds
S17637,2019_jpss_l1rds_web,The JPSS shall support modifications to ESPC blended products.,support modifications to ESPC blended products
S17747,2007_trs_mrd_web,"The down-link of recorded science data, housekeeping, and localization/synchronization data shall be started upon ground segment command only (TBC)","start the down-link of recorded science data, housekeeping, and localization/synchronization data only upon ground segment command"
S17873,2015_due_web,The GBPS shall provide means to do quality checks and manual inspection of intermediate results during processing.,provide means to do quality checks and manual inspection of intermediate results during processing
S18830,2012_marcopolo_WEB,The spacecraft shall satisfy the electric and magnetic cleanliness (EMC) requirements specified by the payload (TBD reference).,satisfy the electric and magnetic cleanliness (EMC) requirements specified by the payload (TBD reference)
S18887,2008_earthcare_web,The minimum Particulate Cleanliness Level for BBR optical components shall be maintained at 50mm2/m2.,maintain the minimum Particulate Cleanliness Level for BBR optical components at 50 mm2/m2
S18963,2021_gmt_oad_web,The GMT Interlock and Safety System shall store all status information in the Engineering Archive.,store all status information in the Engineering Archive
S19306,2019_jpss_dps,The Global Surface Type product shall be updated once per year.,update the Global Surface Type product once per year
S19561,2007_jwst_mrd_web,The DSN antenna diameter shall be 34 meters as specified in the JWST Flight Observatory to Ground Segment IRCD (JWST-IRCD-000696).,use a DSN antenna with a diameter of 34 meters as specified in the JWST Flight Observatory to Ground Segment IRCD (JWST-IRCD-000696)
S19566,2021_gmt_oad_web,The GMT networks shall implement a Quality of Service protocol that prioritizes operation-critical network traffic between the summit and remote sites.,implement a Quality of Service protocol that prioritizes operation-critical network traffic between the summit and remote sites
S19657,2012_stequest_mrd_web,The position of ground clocks shall allow comparisons with the STE-defined in R-SPM-030.,position ground clocks to allow comparisons with the STE as defined in R-SPM-030
S19834,2021_tmt_ord_WEB,The TMT Observatory in Visitor and Service Observing Modes shall implement a Target of Opportunity Observation process.,implement a Target of Opportunity Observation process in Visitor and Service Observing Modes
S19995,2017_s45_mrtd_web,The IPSF in all channels in the UVN shall be sufficiently broad to allow spatially contiguous observations (exact formulation TBD).,ensure the IPSF in all channels in the UVN is sufficiently broad to allow spatially contiguous observations
S20227,2015_skal0_WEB,"SKA1-MID shall provide (search, timing, archive and VLBI) non-imaging observation modes.","provide (search, timing, archive and VLBI) non-imaging observation modes"
S20667,2012_d51_web,The SICCI system shall functionally treat the provision of ECV data products to parties outside of the SICCI system commonly for both SIT and SIC.,functionally treat the provision of ECV data products to parties outside of the SICCI system commonly for both SIT and SIC
S20754,2021_tmt_srd_WEB,The site shall have minimal day-night temperature variations.,use a site with minimal day-night temperature variations
S21381,2021_jpss2_web,"The Virtual Channel Frame Count field shall contain a sequential binary count (modulo-16,777,216) of each Transfer Frame transmitted within a specific Virtual Channel.","include a Virtual Channel Frame Count field containing a sequential binary count (modulo-16,777,216) of each Transfer Frame transmitted within a specific Virtual Channel"
S21385,2015_due_web,There shall be an operational procedure to perform the necessary validation and other steps to perform the transfer to operations.,provide an operational procedure to perform the necessary validation and other steps to perform the transfer to operations
S21517,2017_s45_mrtd_web,Level-0 data shall be available in real time to local users during overpass.,make Level-0 data available in real time to local users during overpass
S21589,2011_marcopolo_srd_WEB,"If the mission scenario foresees any planetary flyby, it shall be possible to switch on all payload elements for testing.",enable switching on all payload elements for testing if the mission scenario includes any planetary flyby
S21881,2019_jpss_dps,"The ATMS TDR product shall provide antenna temperatures calibrated from ATMS RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument.","provide antenna temperatures calibrated from ATMS RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument"
S21919,2012_stequest_mrd_web,Mode changes through telecommand shall be possible.,enable mode changes through telecommand
S21996,2019_jpss_l1rds_web,"In a missed pass scenario, data shall be recovered on subsequent passes.",recover data on subsequent passes in a missed pass scenario
S22774,2007_jwst_mrd_web,The command uplink shall be SBand.,use S-Band for the command uplink
S22824,2008_earthcare_web,CPR shall generate instrument science data packets for transmission to ground within CCSDS packets via the satellite science data subsystem.,generate instrument science data packets for transmission to ground within CCSDS packets via the satellite science data subsystem
S22836,2021_gmt_ord_web,The GMT shall provide an internal communications system.,provide an internal communications system
S23122,2016_teser_web,The TCS subsystem shall be scalable to account for removing different S/C.,provide a TCS subsystem that is scalable to account for removing different S/C
S23124,2021_gmt_oad_web,All standardized software user interfaces shall be accessible from remote workstations by users with the appropriate access credentials.,make all standardized software user interfaces accessible from remote workstations to users with appropriate access credentials
S23316,2015_skal0_WEB,SKA1-LOW shall provide timing accuracy of at least 10 nsec over a 10 year time year interval to enable precision pulsar timing at 150  350 MHz (HPSO 5).,provide timing accuracy of at least 10 nsec over a 10 year time year interval to enable precision pulsar timing at 150  350 MHz (HPSO 5)
S23342,2005_skal1_WEB,"SKA1_Mid shall be able to change the pointing, centre frequency, and bandwidth of the individual tied-array beams within a single observing schedule.","change the pointing, centre frequency, and bandwidth of the individual tied-array beams within a single observing schedule"
S23665,2021_tmt_srd_WEB,"The site shall have high altitude (transparency, low water vapor, low temperature, smaller atmosphere dispersion).","use a site with high altitude (transparency, low water vapor, low temperature, smaller atmosphere dispersion)"
S23937,2006_hgs_ird_web,The HCSS shall pull the telecommand history data from the RTA.,pull the telecommand history data from the RTA
S24011,spacebert_ecss,The position margin that the position-based scheduling subservice uses shall be declared when specifying that subservice.,declare the position margin used by the position-based scheduling subservice when that subservice is specified
S24695,2019_jpss_dps,"The Sea Ice Concentration product shall provide sea ice concentration, globally over ocean, day and night, at the refresh rates of the instrument.","provide sea ice concentration, globally over ocean, day and night, at the refresh rates of the instrument"
S24925,2012_d51_web,During SICCI system development an observation report management system shall be employed to track all observation reports during software implementation,employ an observation report management system during SICCI system development to track all observation reports during software implementation
S24963,2019_jpss_dps,"The Land Surface Emissivity product shall provide microwave land surface emissivity, globally, in clear and cloudy conditions, at the refresh rate of the instrument.","provide microwave land surface emissivity, globally, in clear and cloudy conditions, at the refresh rate of the instrument"
S24989,2019_jpss_dps,"The Soil Moisture product shall provide soil moisture in the skin layer, globally, in daytime and night, under all weather conditions, at the refresh rates of the instrument.","provide soil moisture in the skin layer, globally, in daytime and night, under all weather conditions, at the refresh rates of the instrument"
S25179,2019_jpss_l1rds_web,"S-NPP and JPSS-n satellite operational outages, excluding on-orbit failures, shall be less than 2 hours over any 30-day period for the mission lifetime.","limit S-NPP and JPSS-n satellite operational outages, excluding on-orbit failures, to less than 2 hours over any 30-day period for the mission lifetime"
S25352,2011_dot_WEB,The Core System shall notify an authorized System Operator within 30 seconds upon a failure.,notify an authorized System Operator within 30 seconds upon a failure
S25560,2008_earthcare_web,"Information on the most recent down-linked packet (Packet APID, SSC and time) shall be available in the housekeeping telemetry.","make information on the most recent down-linked packet (Packet APID, SSC and time) available in the housekeeping telemetry"
S25638,2009_gg_WEB,"The GG system shall perform systematic checks on the data validity and quality,",perform systematic checks on the data validity and quality
S25793,2003_hp_ird_web,A telemetry packet for successful command acceptance shall be generated by the receiving application for every telecommand packet properly received and containing valid data.,have the receiving application generate a telemetry packet for successful command acceptance for every telecommand packet that is properly received and contains valid data
S25963,2013_echo_mrd_WEB,"During the commissioning phase, check-out of the spacecraft functions and verification of all subsystems performances shall be performed.",perform check-out of the spacecraft functions and verify the performance of all subsystems during the commissioning phase
S26038,2013_loft_mrd_web,The magnetic field strength at the WFM location shall be lower than 4 Gauss.,keep the magnetic field strength at the WFM location lower than 4 Gauss
S26210,2011_marcopolo_srd_WEB,A shape model of the NEA shall be obtained with an accuracy of typically 1 m in height and spatial resolution with respect to the centre of mass.,obtain a shape model of the NEA with an accuracy of typically 1 m in height and spatial resolution with respect to the centre of mass
S26441,2018_jpss_l0_web,The algorithm shall produce the cloud liquid water product under all-weather conditions.,produce the cloud liquid water product under all-weather conditions
S26449,2003_hp_ird_web,"It shall be possible to modify the on-board software, either by modifying the image on non-volatile memory or by patching the image in working memory, while the unit affected is operational.",support modification of the on-board software by modifying the image on non-volatile memory or patching the image in working memory while the affected unit is operational
S26653,2019_jpss_dps,The Vegetation Health Index Suite product shall provide geolocation of horizontal cell centers with a 3-sigma mapping uncertainty of 4 kilometers.,provide geolocation of horizontal cell centers with a 3-sigma mapping uncertainty of 4 kilometers
S27099,2021_tmt_oad_WEB,The elevation structure shall include locking devices that prevent motion during servicing operations when the telescope is zenith pointing or horizon pointing.,include locking devices that prevent motion during servicing operations when the telescope is zenith pointing or horizon pointing
S27166,2013_loft_mrd_web,"The S/C shall support replacement of the on-board software, either partially or totally, with software up-linked from the ground.","support replacement of the on-board software, either partially or totally, with software up-linked from the ground"
S27182,2021_gmt_oad_web,The OCS shall provide visualization to support assessment of runtime observing conditions.,provide visualization to support assessment of runtime observing conditions
S27528,2021_gmt_ord_web,The GMT shall support the Queue mode of science operations.,support the Queue mode of science operations
S28068,2009_gg_WEB,"Total mass budget in launch configuration shall be compliant with the launcher capability, referred to selected orbit.",maintain the total mass budget in launch configuration within the launcher capability for the selected orbit
S28235,2007_jwst_mrd_web,The Ground Segment shall provide a minimum of 4 hours of contact time per day with the Observatory.,provide a minimum of 4 hours of contact time per day with the Observatory
S29179,2004_hp_srs_web,All software codes shall be dynamically analysed by a standard tool.,dynamically analyse all software code with a standard tool
S29664,0000_mss_WEB,"The unit shall provide adjustable rotation speed from 0,2°/s to 30°/s in the azimuth and from 0,2°/s to 15°/s in the vertical","provide adjustable rotation speed from 0,2°/s to 30°/s in the azimuth and from 0,2°/s to 15°/s in the vertical"
S29819,2021_gmt_ord_web,The Observatory shall provide controls to prevent unsafe interactions between Observatory subsystems.,provide controls to prevent unsafe interactions between Observatory subsystems
S29953,1998_grace_WEB,The IPU shall output attitude measurements in the form of quaternions for use by the AOCS at a 1 Hz rate.,output attitude measurements in the form of quaternions for use by the AOCS at a 1 Hz rate
S30175,2012_d51_web,Any non-registered user shall be able to access all areas of the SICCI portal other than for the downloading of SICCI products.,allow non-registered users to access all areas of the SICCI portal except those used for downloading SICCI products
S30281,2007_jwst_mrd_web,The command uplink shall be at 250 bps.,provide a command uplink at 250 bps
S30582,2021_tmt_oad_WEB,An engineering workshop and optical lab shall be provided adjacent to the enclosure.,provide an engineering workshop and optical lab adjacent to the enclosure
S30981,2019_gateway_WEB,The Gateway shall distribute primary power using two bi-directional power domains to each axial docking port.,distribute primary power using two bi-directional power domains to each axial docking port
S31553,2017_s45_mrtd_web,The performance requirements shall be met for SZAs smaller than 80o.,meet the performance requirements for SZAs smaller than 80 degrees
S31586,2005_wise_mos_WEB,The MOS shall determine the ephemeris for the WISE Flight-system.,determine the ephemeris for the WISE Flight-system
S31823,2012_d51_web,The SIT sub-system shall manage a metadata catalogue of SIT products generated by the ECV processing chain,manage a metadata catalogue of SIT products generated by the ECV processing chain
S32187,spacebert_ecss,"The supplier shall calculate the results for TML, RML and CVCM (theoretically all zero) as for a normal VCM-test.","calculate the results for TML, RML and CVCM (theoretically all zero) as for a normal VCM-test"
S32448,2004_hp_srs_web,The spacecraft design shall support real time housekeeping data (spacecraft and payload),support real time housekeeping data (spacecraft and payload)
S32545,2016_teser_web,The PMD module structures shall withstand loads in all mission phases as defined in [AD2],withstand loads in all mission phases as defined in [AD2]
S32776,2019_gateway_WEB,"The Gateway shall collect, contain, and dispose of crew bodily wastes.","collect, contain, and dispose of crew bodily wastes"
S32948,spacebert_ecss,The supplier shall take the wire or cable to be submitted to this test procedure from stock with minimum handling.,take the wire or cable to be submitted to this test procedure from stock with minimum handling
S32987,2011_dot_WEB,The Core2Core Subsystem shall transition to degraded mode of operations when a software failure within the Core2Core Subsystem is detected.,transition to degraded mode of operations when a software failure within the Core2Core Subsystem is detected
S33362,2019_gateway_WEB,The Gateway shall provide crew displays and controls that are operable by a crewmember from within any habitable environment.,provide crew displays and controls that are operable by a crewmember from within any habitable environment
S33525,2005_wise_mos_WEB,The MOS shall participate in at least one major spacecraft operational test performed at the launch site.,participate in at least one major spacecraft operational test performed at the launch site
S33708,0000_mss_WEB,Radio terminals offered must feature a dedicated on/off key.,feature a dedicated on/off key
S34050,2012_marcopolo_WEB,The S/C shall be able to receive a TC from the ground to switch from Collision Avoidance Mode to Safe Mode.,receive a TC from the ground to switch from Collision Avoidance Mode to Safe Mode
S34346,2011_dot_WEB,The Service Monitor Subsystem shall add hardware components by an authorized System Operator upon request,allow an authorized System Operator to add hardware components upon request
S34869,2021_jpss2_web,"The X-band HRD interface shall have a modulation of OQPSK, with alternating bits on I and Q.",provide an X-band HRD interface with OQPSK modulation and alternating bits on I and Q
S35434,2008_earthcare_web,The number of BBR modes and on-board correction functions shall be kept to the strict minimum required to meet the requirements.,keep the number of BBR modes and on-board correction functions to the strict minimum needed to meet the requirements
S35918,2004_hp_srs_web,A frequency control plan shall be established and maintained as part of the EMC programme.,establish and maintain a frequency control plan as part of the EMC programme
