external_item_id,source_statement
EXT0117,The system SHOULD provide standard menu buttons for navigation.
EXT0118,The system SHOULD respond fast to keep up-to-date data in the display.
EXT0119,It would be nice if the system could display the local and exercise time in separate clocks.
EXT0120,It would be useful if the system could have a MDI form that allows for the viewing of the graph and the data table.
EXT0121,The system MUST provide standard menu buttons for navigation.
EXT0122,The system MUST allow a user to define the time segments.
EXT0123,It would be nice if the system could split the table side of the display into sequential and temporal regions.
EXT0124,It would be useful if the system could conform to the smart device user interface standards in look and feel.
EXT0125,The system MAY refresh the display every 60 seconds.
EXT0126,The system MUST display the local and exercise time in separate clocks.
EXT0127,It would be nice if the system could provide charts for the Activity or Event actual versus assumed time.
EXT0128,It would be useful if the system could respond fast to keep up-to-date data in the display.
EXT0129,It would be nice if the system could provide a history report of changes made to the Activity or Event data.
EXT0130,The system MAY allow modification of the display.
EXT0131,The system SHOULD have a MDI form that allows for the viewing of the graph and the data table.
EXT0132,The system MAY provide charts for the Activity or Event actual versus assumed time.
EXT0133,It would be nice if the system could display Events or Activities.
EXT0134,It would be nice if the system could match the color of the schema set forth by Department of Homeland Security.
EXT0135,The system MUST split the table side of the display into sequential and temporal regions.
EXT0136,The system MAY display the local and exercise time in separate clocks.
EXT0137,It would be nice if the system could offer a display of all the Events in the exercise.
EXT0138,It would be nice if the system could allow a user to define the time segments.
EXT0139,"As a low-priority enhancement, the system could respond fast to keep up-to-date data in the display."
EXT0140,It would be useful if the system could allow modification of the display.
