dataset_id,benchmark_variant,run_id,model,profile_id,embedding_backend,status,item_rows,stochastic_sample_rows,embedding_shape,analysis_dir,artifact_dir
nice,must,full-20260913-025628-930f02bf,gpt-oss-20b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_must_full_20260913_025628_930f02bf,outputs/evaluation_nice_must_full_20260913_025628_930f02bf/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gpt_oss_20b
nice,shall,full-shall-20260911-235847-f3a50e23,qwen3.6-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260911_235847_f3a50e23,outputs/evaluation_nice_shall_full_shall_20260911_235847_f3a50e23/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_6_27b
nice,shall,full-shall-20260912-052614-cb923af8,glm-5.3,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260912_052614_cb923af8,outputs/evaluation_nice_shall_full_shall_20260912_052614_cb923af8/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3
nice,shall,full-shall-20260912-053541-bc757449,qwen3.8-27b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260912_053541_bc757449,outputs/evaluation_nice_shall_full_shall_20260912_053541_bc757449/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_8_27b
nice,shall,full-shall-20260912-093111-0684daf9,qwen3.5-9b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260912_093111_0684daf9,outputs/evaluation_nice_shall_full_shall_20260912_093111_0684daf9/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__qwen3_5_9b
nice,shall,full-shall-20260912-125024-dfce83b7,gemma4-31b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260912_125024_dfce83b7,outputs/evaluation_nice_shall_full_shall_20260912_125024_dfce83b7/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_31b_it
nice,shall,full-shall-20260912-170442-6679d1c6,gemma4-12b-it,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260912_170442_6679d1c6,outputs/evaluation_nice_shall_full_shall_20260912_170442_6679d1c6/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gemma4_12b_it
nice,shall,full-shall-20260912-213437-c6495ee7,muse-glimmer-30b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260912_213437_c6495ee7,outputs/evaluation_nice_shall_full_shall_20260912_213437_c6495ee7/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__muse_glimmer_30b
nice,shall,full-shall-20260913-020437-9dd2e0af,glm-5.3-flash,zai,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260913_020437_9dd2e0af,outputs/evaluation_nice_shall_full_shall_20260913_020437_9dd2e0af/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__glm_5_3_flash
nice,shall,full-shall-20260913-031449-0fd5039e,gpt-oss-20b,local_llama_cpp,mlx:mlx-community/Qwen3-Embedding-0.6B-8bit,computed,720,3600,"[3600, 1024]",outputs/evaluation_nice_shall_full_shall_20260913_031449_0fd5039e,outputs/evaluation_nice_shall_full_shall_20260913_031449_0fd5039e/acse_semantic_mlx_mlx_community_qwen3_embedding_0_6b_8bit__gpt_oss_20b
